نوع الحادث,زمن الحادث,تاريخ الحادث,محافظة الحادث,مدينة الحادث,زمن الانقاذ و حل المشكله
انقلاب مركبة,00:16,2022-03-27,Assiut,Abnoub,172 دقيقة
انقلاب مركبة,09:29,2024-04-09,Aswan,Aswan First,215 دقيقة
غرق مركبة,00:34,2024-08-14,Beheira,Abu Hummus,130 دقيقة
غرق مركبة,07:11,2022-09-19,Dakahlia,Bilqas,162 دقيقة
سقوط من ارتفاع,08:22,2023-10-01,Minya,Samalut,14 دقيقة
انقلاب مركبة,16:14,2024-05-23,Sharqia,Abu Kabir,214 دقيقة
تصادم مع حيوان,18:25,2022-08-27,Giza,Faisal,195 دقيقة
تصادم مع حيوان,07:34,2023-12-28,Port Said,Sharq,106 دقيقة
حريق في السيارة,16:37,2023-10-20,Qalyubia,Khanka,54 دقيقة
تصادم مع حيوان,18:12,2023-07-09,Sharqia,Faqus,159 دقيقة
حريق في السيارة,07:09,2022-09-22,Giza,Faisal,69 دقيقة
حادث دراجة نارية,19:35,2023-03-05,Beheira,Kafr El Dawar,199 دقيقة
تصادم مع حيوان,20:46,2024-06-07,Sohag,Akhmim,72 دقيقة
عطل فني,18:50,2024-04-16,Ismailia,Qantara Sharq,134 دقيقة
عطل فني,20:37,2023-06-26,Qalyubia,Qalyub,118 دقيقة
ازدحام مروري,22:11,2023-01-14,Beheira,Abu Hummus,85 دقيقة
حريق في السيارة,09:46,2024-08-22,Port Said,Sharq,205 دقيقة
تصادم سيارات,19:21,2024-06-20,Ismailia,First District,122 دقيقة
دهس مشاة,02:11,2022-05-12,Aswan,Edfu,34 دقيقة
سقوط من ارتفاع,06:57,2023-09-12,Monufia,Shebin El Kom,177 دقيقة
غرق مركبة,07:06,2023-05-11,Sohag,Sohag First,205 دقيقة
غرق مركبة,08:18,2024-07-09,Giza,Haram,222 دقيقة
تصادم سيارات,19:44,2023-05-05,Giza,Dokki,162 دقيقة
تصادم سيارات,16:01,2024-11-07,Giza,Imbaba,107 دقيقة
ازدحام مروري,19:50,2023-04-18,Assiut,Assiut First,202 دقيقة
حريق في السيارة,05:30,2022-03-24,Qalyubia,Khanka,176 دقيقة
غرق مركبة,08:24,2024-06-26,Monufia,Menouf,180 دقيقة
حريق في السيارة,08:56,2022-08-28,Port Said,Manakh,218 دقيقة
عطل فني,10:04,2022-08-26,Minya,Beni Mazar,11 دقيقة
دهس مشاة,16:38,2024-06-05,Dakahlia,Bilqas,208 دقيقة
انقلاب مركبة,18:16,2023-04-30,Port Said,Sharq,111 دقيقة
غرق مركبة,09:02,2022-07-15,Giza,Agouza,107 دقيقة
سقوط من ارتفاع,17:39,2024-07-05,Alexandria,Glim,184 دقيقة
حادث دراجة نارية,18:00,2022-09-08,Alexandria,Miami,64 دقيقة
ازدحام مروري,09:56,2022-04-10,Assiut,Manfalout,65 دقيقة
انقلاب مركبة,08:18,2024-11-22,Aswan,Edfu,40 دقيقة
انقلاب مركبة,19:06,2022-08-26,Giza,Agouza,73 دقيقة
تصادم سيارات,17:42,2023-10-13,Beheira,Abu Hummus,172 دقيقة
تصادم مع حيوان,16:48,2024-12-23,Luxor,Qurna,45 دقيقة
حادث دراجة نارية,18:44,2022-12-16,Monufia,Berket El Sabaa,122 دقيقة
تصادم مع حيوان,08:25,2022-04-24,Aswan,Kom Ombo,43 دقيقة
سقوط من ارتفاع,09:25,2024-06-11,Assiut,Dayrout,48 دقيقة
ازدحام مروري,16:23,2023-05-28,Alexandria,Glim,103 دقيقة
دهس مشاة,01:38,2022-05-03,Sharqia,Abu Kabir,138 دقيقة
عطل فني,09:54,2023-01-30,Minya,Beni Mazar,110 دقيقة
سقوط من ارتفاع,08:17,2024-07-07,Minya,Beni Mazar,73 دقيقة
عطل فني,08:07,2023-07-09,Dakahlia,Bilqas,90 دقيقة
تصادم سيارات,16:31,2024-09-26,Assiut,Qusiya,109 دقيقة
غرق مركبة,06:05,2024-06-07,Minya,Beni Mazar,16 دقيقة
دهس مشاة,17:34,2023-11-16,Assiut,Manfalout,107 دقيقة
غرق مركبة,10:11,2022-12-05,Port Said,Manakh,116 دقيقة
حريق في السيارة,00:23,2023-04-30,Beheira,Kafr El Dawar,156 دقيقة
انقلاب مركبة,17:22,2024-09-28,Alexandria,Glim,232 دقيقة
تصادم سيارات,07:22,2022-08-30,Sharqia,Abu Kabir,86 دقيقة
حادث دراجة نارية,12:23,2022-09-21,Aswan,Kom Ombo,152 دقيقة
تصادم سيارات,16:35,2023-02-12,Sharqia,Abu Kabir,20 دقيقة
دهس مشاة,13:28,2023-07-14,Port Said,Manakh,193 دقيقة
سقوط من ارتفاع,13:07,2022-02-22,Luxor,Armant,217 دقيقة
غرق مركبة,01:07,2023-12-06,Beheira,Rashid,236 دقيقة
عطل فني,02:43,2023-04-26,Minya,Deir Mawas,93 دقيقة
انقلاب مركبة,17:22,2022-06-10,Monufia,Shebin El Kom,63 دقيقة
تصادم مع حيوان,00:18,2023-10-27,Assiut,Assiut First,109 دقيقة
غرق مركبة,08:14,2023-02-14,Sharqia,Zagazig,135 دقيقة
تصادم سيارات,22:13,2024-09-28,Qalyubia,Banha,123 دقيقة
انقلاب مركبة,17:27,2023-09-07,Assiut,Manfalout,194 دقيقة
غرق مركبة,19:08,2023-01-21,Giza,Agouza,230 دقيقة
تصادم سيارات,09:05,2024-08-22,Sohag,Girga,55 دقيقة
انقلاب مركبة,09:58,2022-02-14,Alexandria,Sidi Gaber,15 دقيقة
دهس مشاة,03:34,2022-07-08,Sharqia,Minya Al Qamh,214 دقيقة
حريق في السيارة,16:55,2022-10-22,Aswan,Kom Ombo,95 دقيقة
سقوط من ارتفاع,16:50,2024-12-14,Cairo,Nasr City,20 دقيقة
تصادم مع حيوان,19:33,2022-05-30,Dakahlia,Talkha,118 دقيقة
عطل فني,00:52,2024-09-10,Assiut,Dayrout,196 دقيقة
سقوط من ارتفاع,18:27,2024-07-09,Port Said,Dawahi,132 دقيقة
ازدحام مروري,08:37,2023-10-24,Alexandria,Sidi Gaber,139 دقيقة
سقوط من ارتفاع,18:51,2024-08-17,Minya,Samalut,27 دقيقة
حريق في السيارة,09:35,2023-11-06,Qalyubia,Banha,226 دقيقة
انقلاب مركبة,08:00,2023-01-12,Ismailia,Arbaeen,167 دقيقة
حادث دراجة نارية,18:00,2024-08-28,Aswan,Kom Ombo,101 دقيقة
حريق في السيارة,17:56,2023-11-15,Luxor,Esna,35 دقيقة
تصادم مع حيوان,16:59,2022-10-30,Ismailia,First District,159 دقيقة
دهس مشاة,20:14,2024-03-26,Aswan,Kom Ombo,137 دقيقة
حادث دراجة نارية,08:01,2022-02-22,Beheira,Edku,35 دقيقة
تصادم سيارات,18:14,2024-11-23,Qalyubia,Toukh,185 دقيقة
ازدحام مروري,09:37,2022-06-01,Sohag,Tahta,173 دقيقة
عطل فني,20:27,2022-04-22,Monufia,Menouf,79 دقيقة
ازدحام مروري,16:38,2023-08-06,Port Said,Sharq,50 دقيقة
حادث دراجة نارية,23:37,2022-12-30,Beheira,Abu Hummus,19 دقيقة
غرق مركبة,04:32,2024-10-11,Qalyubia,Qalyub,94 دقيقة
تصادم مع حيوان,18:47,2024-10-05,Luxor,Armant,37 دقيقة
سقوط من ارتفاع,09:21,2024-06-28,Beheira,Abu Hummus,49 دقيقة
تصادم سيارات,09:21,2023-03-23,Sharqia,Abu Kabir,184 دقيقة
عطل فني,07:48,2022-07-21,Sharqia,Minya Al Qamh,102 دقيقة
سقوط من ارتفاع,19:45,2024-04-09,Sharqia,Kafr Saqr,233 دقيقة
سقوط من ارتفاع,09:19,2023-02-19,Sohag,Tahta,234 دقيقة
تصادم مع حيوان,18:39,2022-03-05,Beheira,Edku,230 دقيقة
انقلاب مركبة,08:53,2022-04-20,Dakahlia,Mit Ghamr,97 دقيقة
سقوط من ارتفاع,08:10,2022-09-25,Cairo,Maadi,151 دقيقة
غرق مركبة,21:53,2023-02-13,Dakahlia,Mit Ghamr,154 دقيقة
حريق في السيارة,05:34,2024-12-13,Monufia,Bagour,237 دقيقة
ازدحام مروري,20:24,2024-09-02,Sharqia,Zagazig,185 دقيقة
دهس مشاة,10:32,2024-01-27,Sharqia,Faqus,204 دقيقة
سقوط من ارتفاع,04:21,2024-06-07,Sohag,Akhmim,101 دقيقة
تصادم سيارات,17:00,2024-09-24,Cairo,Heliopolis,111 دقيقة
دهس مشاة,16:22,2022-11-13,Sohag,Sohag First,45 دقيقة
دهس مشاة,16:49,2022-10-08,Aswan,Aswan First,57 دقيقة
ازدحام مروري,11:21,2023-06-01,Monufia,Menouf,38 دقيقة
حريق في السيارة,08:58,2023-11-25,Sohag,Tahta,190 دقيقة
تصادم سيارات,17:39,2023-12-01,Qalyubia,Khanka,223 دقيقة
عطل فني,03:25,2023-10-08,Aswan,Nasr Nubia,216 دقيقة
دهس مشاة,09:54,2023-05-09,Sohag,Maragha,216 دقيقة
ازدحام مروري,07:07,2023-01-21,Ismailia,Qantara Sharq,25 دقيقة
حادث دراجة نارية,10:28,2023-06-22,Sharqia,Minya Al Qamh,200 دقيقة
دهس مشاة,10:41,2023-04-04,Luxor,Armant,21 دقيقة
دهس مشاة,17:09,2022-10-14,Ismailia,Arbaeen,54 دقيقة
حادث دراجة نارية,14:37,2023-07-29,Qalyubia,Toukh,190 دقيقة
حادث دراجة نارية,08:02,2024-01-17,Beheira,Rashid,198 دقيقة
