التاريخ,الزمن,المحافظة,المدينة,نوع المدينة,الطريق,مستوى الزحام (%),وقت التأخير (دقائق لـ10 كم),السرعة المتوسطة (كم/س),ساعة ذروة,حالة الطريق
2022-04-25,18:48,Cairo,Heliopolis,حضرية,Al Mehwar Al Markazy,75,39.72,28.9,نعم,جاف
2024-01-08,23:15,Cairo,Nasr City,حضرية,Corniche El Nil,20,18.8,28.4,لا,تحت الصيانة
2025-07-28,22:24,Qalyubia,Khanka,ريفية,Shubra-Banha Road,8,12.6,32.8,لا,جاف
2022-06-27,21:21,Giza,Haram,حضرية,El-Lebbini St.,17,18.7,22.4,لا,جاف
2022-01-07,12:40,Alexandria,Roushdy,حضرية,Kafr Abdou St.,64,19.9,21.6,نعم,مبلل
2023-07-11,08:37,Cairo,Nasr City,حضرية,Corniche El Nil,53,27.7,25.5,نعم,جاف
2025-07-16,05:13,Alexandria,Smouha,حضرية,Abu Qir Road,18,20.0,16.1,لا,جاف
2023-05-25,18:02,Dakahlia,Dikirnis,ريفية,Mansoura-Cairo Highway,11,19.7,35.0,نعم,جاف
2022-07-03,04:09,Giza,6th October City,حضرية,El Bahr El Aazam St.,61,17.9,24.6,لا,جاف
2022-12-01,07:24,Alexandria,Glim,حضرية,Sidi Gaber Road,33,25.9,15.4,نعم,جاف
2024-08-24,17:54,Giza,6th October City,حضرية,26th of July Corridor,29,32.2,24.5,نعم,جاف
2023-04-29,19:33,Alexandria,Sidi Gaber,حضرية,Gamal Abdel Nasser St.,58,33.4,20.2,نعم,جاف
2025-04-14,23:10,Alexandria,Smouha,حضرية,El-Montazah Bridge,37,16.0,19.0,لا,تحت الصيانة
2025-05-27,00:58,Giza,Imbaba,حضرية,El Bahr El Aazam St.,20,17.4,20.1,لا,جاف
2023-12-28,22:03,Cairo,Maadi,حضرية,Salah Salem St.,53,19.5,23.2,لا,جاف
2023-04-17,06:07,Alexandria,Roushdy,حضرية,Desert Road,76,23.639999999999997,30.0,لا,جاف
2022-07-30,11:37,Alexandria,San Stefano,حضرية,Kafr Abdou St.,60,18.4,22.1,لا,جاف
2022-08-28,16:28,Cairo,Zamalek,حضرية,Al Mehwar Al Markazy,70,28.2,19.3,نعم,جاف
2025-07-18,18:54,Giza,Imbaba,حضرية,Faisal Road,80,39.6,24.9,نعم,مبلل
2023-08-20,08:37,Giza,Sheikh Zayed City,حضرية,El Bahr El Aazam St.,23,24.3,16.5,نعم,مبلل
2025-06-16,03:05,Cairo,Heliopolis,حضرية,Ramses St.,56,16.7,21.6,لا,جاف
2023-08-10,19:33,Cairo,Downtown,حضرية,Corniche El Nil,41,30.0,28.7,نعم,جاف
2023-07-27,20:01,Cairo,Shubra,حضرية,Al Azhar St.,56,18.7,26.8,لا,جاف
2024-10-07,23:11,Giza,6th October City,حضرية,Alexandria Desert Road,28,19.1,29.9,لا,مبلل
2024-01-25,10:20,Cairo,Heliopolis,حضرية,Al Fangari Bridge,17,17.9,30.0,لا,جاف
2023-10-25,13:34,Giza,Dokki,حضرية,Giza Square,42,16.9,23.3,لا,مبلل
2022-06-24,14:59,Cairo,Maadi,حضرية,Corniche El Nil,59,15.4,24.9,لا,جاف
2022-11-11,12:41,Cairo,Shubra,حضرية,Autostrad Road,66,15.0,24.7,نعم,جاف
2024-02-12,11:45,Qalyubia,Toukh,ريفية,Shubra-Banha Road,12,11.6,40.2,لا,جاف
2022-12-07,16:54,Cairo,Gesr El Suez,صناعية,6th October Bridge,42,26.5,31.7,نعم,جاف
2025-03-05,15:26,Cairo,Downtown,حضرية,Ramses St.,80,39.12,22.7,نعم,جاف
2023-10-26,21:22,Alexandria,Miami,حضرية,Gamal Abdel Nasser St.,25,16.4,15.1,لا,تحت الصيانة
